schema,function_name,owner,security_mode,language
auth,email,supabase_auth_admin,SECURITY INVOKER,sql
auth,jwt,supabase_auth_admin,SECURITY INVOKER,sql
auth,role,supabase_auth_admin,SECURITY INVOKER,sql
auth,uid,supabase_auth_admin,SECURITY INVOKER,sql
public,are_users_connected,postgres,SECURITY INVOKER,plpgsql
public,assign_message_seq,postgres,SECURITY INVOKER,plpgsql
public,create_connection_on_accept,postgres,SECURITY INVOKER,plpgsql
public,get_account_by_auth_user,postgres,SECURITY DEFINER,plpgsql
public,get_account_by_identifier,postgres,SECURITY DEFINER,plpgsql
public,get_connection_status,postgres,SECURITY INVOKER,plpgsql
public,get_latest_seq,postgres,SECURITY DEFINER,plpgsql
public,get_mutual_connections,postgres,SECURITY INVOKER,plpgsql
public,get_mutual_connections_count,postgres,SECURITY INVOKER,plpgsql
public,get_unread_count,postgres,SECURITY DEFINER,plpgsql
public,get_user_bidirectional_connections,postgres,SECURITY INVOKER,plpgsql
public,get_user_connections,postgres,SECURITY INVOKER,plpgsql
public,handle_updated_at,postgres,SECURITY INVOKER,plpgsql
public,limit_business_accounts,postgres,SECURITY INVOKER,plpgsql
public,mark_messages_as_delivered,postgres,SECURITY DEFINER,plpgsql
public,mark_messages_as_read,postgres,SECURITY DEFINER,plpgsql
public,rl_allow,postgres,SECURITY DEFINER,plpgsql
public,update_chat_last_message_at,postgres,SECURITY INVOKER,plpgsql
public,update_updated_at_column,postgres,SECURITY INVOKER,plpgsql
storage,add_prefixes,supabase_storage_admin,SECURITY DEFINER,plpgsql
storage,can_insert_object,supabase_storage_admin,SECURITY INVOKER,plpgsql
storage,delete_leaf_prefixes,supabase_storage_admin,SECURITY DEFINER,plpgsql
storage,delete_prefix,supabase_storage_admin,SECURITY DEFINER,plpgsql
storage,delete_prefix_hierarchy_trigger,supabase_storage_admin,SECURITY INVOKER,plpgsql
storage,enforce_bucket_name_length,supabase_storage_admin,SECURITY INVOKER,plpgsql
storage,extension,supabase_storage_admin,SECURITY INVOKER,plpgsql
storage,filename,supabase_storage_admin,SECURITY INVOKER,plpgsql
storage,foldername,supabase_storage_admin,SECURITY INVOKER,plpgsql
storage,get_level,supabase_storage_admin,SECURITY INVOKER,sql
storage,get_prefix,supabase_storage_admin,SECURITY INVOKER,sql
storage,get_prefixes,supabase_storage_admin,SECURITY INVOKER,plpgsql
storage,get_size_by_bucket,supabase_storage_admin,SECURITY INVOKER,plpgsql
storage,list_multipart_uploads_with_delimiter,supabase_storage_admin,SECURITY INVOKER,plpgsql
storage,list_objects_with_delimiter,supabase_storage_admin,SECURITY INVOKER,plpgsql
storage,lock_top_prefixes,supabase_storage_admin,SECURITY DEFINER,plpgsql
storage,objects_delete_cleanup,supabase_storage_admin,SECURITY DEFINER,plpgsql
storage,objects_insert_prefix_trigger,supabase_storage_admin,SECURITY INVOKER,plpgsql
storage,objects_update_cleanup,supabase_storage_admin,SECURITY DEFINER,plpgsql
storage,objects_update_level_trigger,supabase_storage_admin,SECURITY INVOKER,plpgsql
storage,objects_update_prefix_trigger,supabase_storage_admin,SECURITY INVOKER,plpgsql
storage,operation,supabase_storage_admin,SECURITY INVOKER,plpgsql
storage,prefixes_delete_cleanup,supabase_storage_admin,SECURITY DEFINER,plpgsql
storage,prefixes_insert_trigger,supabase_storage_admin,SECURITY INVOKER,plpgsql
storage,search,supabase_storage_admin,SECURITY INVOKER,plpgsql
storage,search_legacy_v1,supabase_storage_admin,SECURITY INVOKER,plpgsql
storage,search_v1_optimised,supabase_storage_admin,SECURITY INVOKER,plpgsql
storage,search_v2,supabase_storage_admin,SECURITY INVOKER,plpgsql
storage,update_updated_at_column,supabase_storage_admin,SECURITY INVOKER,plpgsql

